N;beta_injected;median_beta;CI_low;CI_high;true_f2;power;Tract
100;-0.2;-0.200874941830354;-211.868.427.979.838;170.558.597.740.208;4,00E-04;0.049;5
100;-0.3;-0.341491085112283;-229.476.741.871.242;172.884.073.591.779;9,00E-04;0.0635;5
120;-0.15;-0.160840548934056;-196.378.228.155.015;165.794.079.867.974;0.000225;0.0495;5
120;-0.2;-0.191332892803272;-18.153.179.021.598;164.521.258.566.278;4,00E-04;0.039;5
120;-0.3;-0.26038244562712;-215.054.433.333.358;148.393.259.507.722;9,00E-04;0.067;5
50;-0.15;-0.188267825602177;-3.024.049.144.417;289.867.087.966.628;0.000225;0.059;6
50;-0.2;-0.171342373916504;-305.392.066.292.735;277.289.430.500.014;4,00E-04;0.0525;6
50;-0.3;-0.348063771923685;-322.943.077.949.347;266.391.997.914.161;9,00E-04;0.0645;6
75;-0.15;-0.133631107122871;-253.115.532.808.773;216.733.631.771.948;0.000225;0.0555;6
75;-0.2;-0.228382315391972;-263.280.677.376.088;210.517.656.340.942;4,00E-04;0.06;6
75;-0.3;-0.342171828919189;-263.871.752.955.077;200.335.469.681.965;9,00E-04;0.0625;6
100;-0.15;-0.186111503121618;-208.641.992.219.917;171.195.146.073.639;0.000225;0.042;6
100;-0.2;-0.204111406611175;-225.935.169.474.843;189.652.202.045.367;4,00E-04;0.0595;6
100;-0.3;-0.315088529416339;-222.492.758.941.183;166.527.742.850.954;9,00E-04;0.0575;6
120;-0.15;-0.147201365391561;-202.176.777.429.014;163.582.452.727.481;0.000225;0.0565;6
120;-0.2;-0.17669382060966;-201.105.472.374.006;159.078.477.102.984;4,00E-04;0.056;6
120;-0.3;-0.32340907652183;-214.765.544.610.504;150.446.010.840.592;9,00E-04;0.061;6
50;-0.15;-0.21786097037601;-325.851.549.608.343;273.459.416.815.276;0.000225;0.0595;7
50;-0.2;-0.256935494409759;-325.171.049.306.205;274.668.824.821.288;4,00E-04;0.054;7
50;-0.3;-0.221503472917166;-329.921.836.871.508;255.119.692.449.876;9,00E-04;0.0545;7
75;-0.15;-0.189647609554588;-24.539.929.849.247;217.267.162.597.043;0.000225;0.054;7
75;-0.2;-0.22320142710728;-250.035.300.277.438;221.799.971.920.946;4,00E-04;0.051;7
75;-0.3;-0.334892643595793;-256.055.977.903.421;203.410.067.014.469;9,00E-04;0.05;7
100;-0.15;-0.174591010039475;-210.473.471.445.122;175.038.182.660.386;0.000225;0.0455;7
100;-0.2;-0.240202931151471;-221.651.677.261.893;172.165.057.828.456;4,00E-04;0.058;7
100;-0.3;-0.291553232599379;-229.818.337.541.568;172.930.149.286.068;9,00E-04;0.0645;7
120;-0.15;-0.150733459680924;-189.783.228.429.439;160.492.847.681.364;0.000225;0.0445;7
120;-0.2;-0.193839050631111;-190.962.757.769.252;172.576.690.289.954;4,00E-04;0.055;7
120;-0.3;-0.299757134520746;-203.459.100.373.296;14.808.234.922.326;9,00E-04;0.06;7
50;-0.15;-0.119929063957686;-313.549.499.757.914;278.878.698.485.741;0.000225;0.0635;8
50;-0.2;-0.200923202284295;-302.760.632.264.032;270.332.536.659.413;4,00E-04;0.051;8
50;-0.3;-0.24926836326591;-311.538.798.474.194;259.036.556.740.894;9,00E-04;0.0515;8
75;-0.15;-0.107015876981713;-242.535.356.961.824;206.285.053.128.303;0.000225;0.041;8
75;-0.2;-0.187236894697868;-248.787.714.901.174;211.461.276.953;4,00E-04;0.05;8
75;-0.3;-0.343678718497762;-264.949.837.238.298;204.537.164.266.114;9,00E-04;0.0605;8
100;-0.15;-0.140412348547752;-21.144.783.699.843;189.905.007.535.557;0.000225;0.053;8
100;-0.2;-0.198381456114001;-222.860.891.356.759;18.474.947.666.611;4,00E-04;0.062;8
100;-0.3;-0.230589095868942;-229.115.512.433.719;16.351.629.170.001;9,00E-04;0.0575;8
120;-0.15;-0.150299200366769;-186.857.468.195.365;174.371.915.639.286;0.000225;0.0525;8
120;-0.2;-0.218337902968262;-199.205.730.748.247;153.200.518.475.527;4,00E-04;0.05;8
120;-0.3;-0.32542095188872;-217.487.451.298.785;144.717.026.870.677;9,00E-04;0.061;8
50;-0.15;-0.159310283198431;-31.288.763.656.049;279.694.275.796.337;0.000225;0.0555;9
50;-0.2;-0.196298050233888;-30.716.437.945.444;261.638.575.492.481;4,00E-04;0.05;9
50;-0.3;-0.356921610212933;-313.856.202.288.945;253.812.709.506.163;9,00E-04;0.051;9
75;-0.15;-0.128959944873579;-245.213.533.613.506;214.462.552.629.804;0.000225;0.0495;9
75;-0.2;-0.244902264856798;-250.154.859.830.541;217.722.137.737.707;4,00E-04;0.0555;9
75;-0.3;-0.325197314222179;-262.827.439.410.532;1.987.216.940.183;9,00E-04;0.058;9
100;-0.15;-0.170210610716038;-209.303.864.022.508;185.458.852.509.864;0.000225;0.049;9
100;-0.2;-0.187532021512251;-205.987.166.578.709;165.756.150.638.562;4,00E-04;0.042;9
100;-0.3;-0.21289328977133;-234.756.341.986.786;172.412.192.336.356;9,00E-04;0.066;9
120;-0.15;-0.129190233726881;-198.494.538.201.288;177.179.299.170.568;0.000225;0.056;9
120;-0.2;-0.206090926131328;-210.489.368.099.206;150.991.376.299.701;4,00E-04;0.0555;9
120;-0.3;-0.307023375031945;-210.733.691.367.497;151.133.325.727.427;9,00E-04;0.0635;9
50;-0.15;-0.15329545407203;-308.259.538.794.618;2.578.134.755.404;0.000225;0.044;10
50;-0.2;-0.123954444446807;-31.135.269.754.435;290.479.417.351.666;4,00E-04;0.0565;10
50;-0.3;-0.291691935209155;-315.423.894.168.254;262.854.539.400.308;9,00E-04;0.0515;10
75;-0.15;-0.180789111154647;-248.713.910.723.709;203.404.095.160.586;0.000225;0.0515;10
75;-0.2;-0.293043267599304;-251.968.580.391.864;219.632.538.599.045;4,00E-04;0.056;10
75;-0.3;-0.336450099755615;-263.717.746.628.032;200.033.496.448.607;9,00E-04;0.056;10
100;-0.15;-0.119434793570532;-206.406.804.728.084;192.324.518.460.741;0.000225;0.0515;10
100;-0.2;-0.220606419714629;-22.103.818.261.045;170.673.211.318.248;4,00E-04;0.054;10
100;-0.3;-0.306299025229715;-228.382.892.481.226;168.899.017.182.897;9,00E-04;0.061;10
120;-0.15;-0.132563234919929;-196.277.768.966.615;170.119.598.458.037;0.000225;0.0575;10
120;-0.2;-0.201389801120373;-196.442.595.747.694;158.155.649.668.772;4,00E-04;0.047;10
120;-0.3;-0.314356564240902;-208.070.300.869.603;152.404.508.891.736;9,00E-04;0.065;10
50;-0.15;-0.0758339682625314;-308.750.891.140.481;275.007.368.925.356;0.000225;0.057;11
50;-0.2;-0.243918272012052;-31.654.957.352.131;270.469.624.271.612;4,00E-04;0.0505;11
50;-0.3;-0.217820911126817;-327.482.914.182.582;250.248.049.539.972;9,00E-04;0.0505;11
75;-0.15;-0.152548348566743;-255.674.353.927.581;218.880.659.745.781;0.000225;0.054;11
75;-0.2;-0.228968979618224;-247.006.601.303.554;211.957.617.711.888;4,00E-04;0.0485;11
75;-0.3;-0.393760902089881;-261.669.928.651.308;205.119.298.696.517;9,00E-04;0.058;11
100;-0.15;-0.156617882236819;-212.967.872.947.318;186.269.954.754.266;0.000225;0.051;11
100;-0.2;-0.218600207518848;-215.140.517.986.512;18.014.952.681.928;4,00E-04;0.0515;11
100;-0.3;-0.312832538504087;-236.747.853.530.568;168.828.386.492.163;9,00E-04;0.0685;11
120;-0.15;-0.185214650208061;-200.743.787.600.182;159.840.718.412.467;0.000225;0.054;11
120;-0.2;-0.204683363212399;-194.833.971.015.869;162.346.941.992.549;4,00E-04;0.053;11
120;-0.3;-0.336720627824226;-215.435.731.767.118;144.264.977.666.481;9,00E-04;0.0665;11
50;-0.15;-0.145871347005661;-297.885.508.662.977;266.038.981.533.971;0.000225;0.0455;12
50;-0.2;-0.232354138100018;-314.501.212.702.716;269.654.958.888.095;4,00E-04;0.06;12
50;-0.3;-0.335476965423059;-32.022.590.744.871;247.652.458.683.745;9,00E-04;0.0535;12
75;-0.15;-0.152679456806931;-262.342.688.983.766;221.976.641.211.893;0.000225;0.057;12
75;-0.2;-0.174245710107989;-254.844.262.234.206;22.396.353.140.369;4,00E-04;0.0575;12
75;-0.3;-0.329621377755804;-262.263.957.041.545;196.564.128.429.838;9,00E-04;0.054;12
100;-0.15;-0.147284070974611;-222.911.806.174.375;191.284.190.932.133;0.000225;0.056;12
100;-0.2;-0.266143649597528;-217.894.537.973.432;175.502.474.370.449;4,00E-04;0.053;12
100;-0.3;-0.316799053588995;-23.202.814.820.687;185.439.206.237.054;9,00E-04;0.0625;12
120;-0.15;-0.12133315278253;-191.715.503.372.146;170.577.829.664.972;0.000225;0.053;12
120;-0.2;-0.167116686975074;-197.378.674.839.605;160.242.795.365.602;4,00E-04;0.059;12
120;-0.3;-0.304867383183282;-203.705.315.518.399;145.162.442.235.707;9,00E-04;0.0505;12
